Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
1891,有趣,yǒuqù,interesting; fascinating,形,形 adj.,adjective,4,4,我昨晚做了一个有趣的梦。,Wǒ zuówǎn zuò le yígè yǒuqù de mèng.,I had a funny dream last night.,我觉得这个工作非常有趣。,Wǒ juéde zhège gōngzuò fēicháng yǒuqù.,I found the work very interesting.,这不是一个很有趣的小说。,Zhè búshì yígè hěn yǒuqù de xiǎoshuō.,It wasn't a very interesting novel.
1892,有效,yǒuxiào,effective; in effect,动,动 v.,verb,4,4,这毒药用来治蟑螂很有效。,Zhè dúyào yònglái zhì zhāngláng hěn yǒuxiào.,This poison is very effective in getting rid of roaches.,这份工作录取仍然有效。,Zhèfèn gōngzuò lùqǔ réngrán yǒuxiào.,The job offer still stands.,耐心有时候是最有效的武器。,Nàixīn yǒushíhòu shì zuì yǒuxiào de wǔqì.,Patience is sometimes the most effective weapon.
1893,友谊,yǒuyì,companionship; fellowship,名,名 n.,noun,4,4,希望这是美好友谊的开始。,Xīwàng zhè shì měihǎo yǒuyì de kāishǐ.,I hope that this is the beginning of a beautiful friendship.,你的友谊对我来说意义重大。,Nǐ de yǒuyì duì wǒ láishuō yìyì zhòngdà.,Your friendship means a lot to me.,我们的友谊受到了考验。,Wǒmen de yǒuyì shòudào le kǎoyàn.,Our friendship was put to the test.
1894,有着,yǒuzhe,to have; to possess,动,动 v.,verb,4,4,蒙娜丽莎有着神秘的微笑。,Méngnàlìshā yǒuzhe shénmì de wēixiào.,The Mona Lisa has an enigmatic smile.,他们的货品有着最高的品质。,Tāmen de huòpǐn yǒuzhe zuìgāo de pǐnzhì.,Their goods are of the highest quality.,他有着奇妙的想法。,Tā yǒuzhe qímiào de xiǎngfǎ.,He has queer ideas.
1895,愉快,yúkuài,cheerful; cheerily,形,形 adj.,adjective,4,4,祝您有一个愉快的圣诞节。,Zhùnín yǒu yígè yúkuài de shèngdànjié.,Have a good Christmas.,聚会上我和他谈得很愉快。,Jùhuì shàng wǒ hé tā tán dé hěn yúkuài.,I enjoyed talking with him at the party.,你度过愉快的时光了吗？,Nǐ dùguò yúkuài de shíguāng le ma?,Did you have a good time?
1896,于是,yúshì,thereupon; as a result,连,连 conj.,conjunction,4,4,于是我停止阅读。,Yúshì wǒ tíngzhǐ yuèdú.,So I stopped reading.,他不知道该怎么做，于是便找我帮忙。,Tā bù zhīdào gāi zěnme zuò; yúshì biàn zhǎo wǒ bāngmáng.,Not knowing what to do; he asked me for help.,艾伦太累了，于是早早地上床睡觉了。,Àilún tài lèi le; yúshì zǎozǎo dì shàngchuángshuìjiào le.,Ellen was so tired that she went to bed early.
1897,与,yǔ,and; to give,介、连,介 prep.,preposition; conjunction,4,4,行与行之间要留一个空间。,Xíng yǔ xíng zhījiān yào liú yígè kōngjiān.,Leave a space between the lines.,那可与你说你会做的相违。,Nà kě yǔ nǐ shuō nǐ huì zuò de xiāngwéi.,That's not what you said you'd do.,在上课时不要与他人讲话。,Zài shàngkèshí búyào yǔ tārén jiǎnghuà.,Do not talk to others during class!
1898,语法,yǔfǎ,grammar,名,名 n.,noun,4,4,这里全都是语法纳粹党人。,Zhèlǐ quándōu shì yǔfǎ nàcuìdǎng rén.,It's all grammar nazis up in here.,阿拉伯语的语法很难理解。,Ālābóyǔ de yǔfǎ hěn nán lǐjiě.,Arabic grammar is hard to understand.,这个句子在语法上是正确的。,Zhège jùzi zài yǔfǎ shàng shì zhèngquè de.,This sentence is grammatically correct.
1899,预习,yùxí,to prepare a lesson,动,动 v.,verb,4,4,上课前请先预习课文。,Shàngkè qián qǐng xiān yùxí kèwén.,Please preview the text before class.,认真预习可以提高学习效率。,Rènzhēn yùxí kěyǐ tígāo xuéxí xiàolǜ.,Careful preview improves study efficiency.,他每天晚上预习第二天的课程。,Tā měitiānwǎnshàng yùxí dìèrtiān de kèchéng.,He previews the next day’s lessons every evening.
1900,原来,yuánlái,originally; formerly,名、形、副,名 n.,noun; adjective; adverb,4,4,把书放回它原来的地方。,Bǎ shū fàng huí tā yuánlái de dìfāng.,Put the book back where it was.,原来他们前天去电影院啦。,Yuánlái tāmen qiántiān qù diànyǐngyuàn la.,It turns out that they went to the cinema the day before yesterday.,她的头发长回原来的长度了。,Tā de tóufà zhǎng huí yuánlái de chángdù le.,Her hair grew back to its original length.
1901,原谅,yuánliàng,to excuse; to forgive,动,动 v.,verb,4,4,要原谅，但是不要遗忘。,Yào yuánliàng; dànshì búyào yíwàng.,Forgive; but don't forget.,他告诉我他已经获得了原谅。,Tā gàosù wǒ tā yǐjīng huòdé le yuánliàng.,He told me that he'd been forgiven.,原谅别人就是善待自己。,Yuánliàng biérén jiùshì shàndài zìjǐ.,Forgiving others is a kind deed to yourself.
1902,原因,yuányīn,root cause; origin,名,名 n.,noun,4,4,那就是我生他的气的原因。,Nà jiùshì wǒ shēng tā de qì de yuányīn.,That is why I am angry with him.,你怎么解释你缺席的原因？,Nǐ zěnme jiěshì nǐ quēxí de yuányīn?,How do you account for your absence?,那是我搬到波士顿的原因。,Nà shì wǒ bān dào bōshìdùn de yuányīn.,That's the reason I moved to Boston.
1903,远离,yuǎnlí,to be far from; to keep away from,动,动 v.,verb,4,4,一天一苹果，医生远离我。,Yìtiān yì píngguǒ; yīshēng yuǎnlí wǒ.,An apple a day keeps the doctor away.,我想要一艘船带我远离这里。,Wǒ xiǎngyào yìsōuchuán dài wǒ yuǎnlí zhèlǐ.,I want a boat that will take me far away from here.,儿童应该远离河流。有危险。,Értóng yīnggāi yuǎnlí héliú. yǒu wēixiǎn.,Children should keep away from the river. It's dangerous.
1904,院长,yuànzhǎng,department head; dean,名,名 n.,noun,4,4,院长在开学典礼上讲话。,Yuànzhǎng zài kāixuédiǎnlǐ shàng jiǎnghuà.,The dean spoke at the opening ceremony.,我向院长介绍了这个计划。,Wǒ xiàng yuànzhǎng jièshào le zhège jìhuà.,I introduced this plan to the dean.,那位院长负责管理整个学院。,Nàwèi yuànzhǎng fùzéguǎnlǐ zhěnggè xuéyuàn.,That dean is responsible for managing the entire college.
1905,院子,yuànzi,courtyard; garden,名,名 n.,noun,4,4,我的房子有一个小院子。,Wǒ de fángzi yǒu yígè xiǎo yuànzi.,My house has a small yard.,我在我的院子里种了棵桃树。,Wǒ zài wǒ de yuànzi lǐ zhǒng le kē táoshù.,I planted a peach tree in my yard.,艾美上星期六在院子里工作。,Ài měi shàng xīngqīliù zài yuànzi lǐ gōngzuò.,Amy worked in the yard last Saturday.
1906,约,yuē,to invite; approximately,动、副,动 v.,verb; adverb,4,4,我们乘了约六小时的飞机。,Wǒmen chéng le yuē liùxiǎoshí de fēijī.,We were flying about six hours.,我们约的是今天还是明天？,Wǒmen yuē de shì jīntiān háishì míngtiān?,Is our appointment today or tomorrow?,这里到车站约十分钟路程。,Zhèlǐ dào chēzhàn yuē shífēnzhōng lùchéng.,It is about ten minutes' walk to the station.
1907,约会,yuēhuì,appointment; engagement,动、名,动 v.,verb; noun,4,4,我父母不让我和男生约会。,Wǒ fùmǔ búràng wǒ hé nánshēng yuēhuì.,My parents won't let me date.,你儿子正在和我女儿约会。,Nǐ érzi zhèngzài hé wǒ nǚér yuēhuì.,Your son is dating my daughter.,我向她提出约会的请求。,Wǒ xiàng tā tíchū yuēhuì de qǐngqiú.,I asked her for a date.
1908,月饼,yuèbing,mooncake (esp. for the Mid-Autumn Festival),名,名 n.,noun,4,4,月饼是中国点心的一种。,Yuèbǐng shì zhōngguó diǎnxīn de yìzhǒng.,The mooncake is a kind of Chinese snack.,中秋节要吃月饼。,Zhōngqiūjié yào chī yuèbǐng.,You eat mooncakes during the Mid-Autumn Festival.,在中秋节，家人团聚，一起吃月饼、赏月。,Zài zhōngqiūjié; jiārén tuánjù; yìqǐ chī yuèbǐng; shǎngyuè.,On Mid-Autumn Day; families gather; eat moon cake together; and watch the moon.
1909,阅读,yuèdú,to read; reading,动,动 v.,verb,4,4,他在用伯伯尔语阅读圣经。,Tā zài yòng bóbo ěryǔ yuèdú shèngjīng.,He's reading the Bible in Berber.,灯光太暗了，我没法阅读。,Dēngguāng tàiàn le; wǒ méifǎ yuèdú.,The light is too dim for me to read easily.,我想把阅读灯关了，行吗？,Wǒ xiǎng bǎ yuèdú dēng guān le; xíng ma?,I'd like to turn off the reading lamp; is that OK?
1910,月份,yuèfèn,month,名,名 n.,noun,4,4,所有月份中我最喜欢五月。,Suǒyǒu yuèfèn zhōng wǒ zuì xǐhuān wǔyuè.,I like May the best of all the months.,7月份工业生产大幅增长。,7 Yuèfèn gōngyèshēngchǎn dàfú zēngzhǎng.,Industrial production rose sharply in July.,一月通常是最冷的月份。,Yíyuè tōngcháng shì zuì lěng de yuèfèn.,January is usually the coldest month.
1911,云,yún,cloud,名,名 n.,noun,4,4,那朵云对我来说像一只兔子。,Nà duǒ yún duì wǒ láishuō xiàng yìzhī tùzi.,That cloud looks like a rabbit to me.,云愈来愈多，可能快下雨了。,Yún yùláiyùduō; kěnéng kuài xiàyǔ le.,It's getting cloudy. It may rain soon.,在云的遮蔽下无法见到月亮。,Zài yún de zhēbì xià wúfǎ jiàndào yuèliàng.,The moon is invisible behind the clouds.
1912,允许,yǔnxǔ,to permit; to allow,动,动 v.,verb,4,4,我不允许有人在课上睡觉。,Wǒ bù yǔnxǔ yǒurén zài kè shàng shuìjiào.,I do not allow sleeping in class.,天气允许，我明天就开始。,Tiānqì yǔnxǔ; wǒ míngtiān jiù kāishǐ.,Weather permitting; I'll start tomorrow.,是谁允许你做这样的事的？,Shì shuí yǔnxǔ nǐ zuò zhèyàng de shì de?,Who gave you the right to do such a thing?
1913,杂志,zázhì,magazine,名,名 n.,noun,4,4,这份杂志每个月出刊两次。,Zhèfèn zázhì měigè yuè chūkān liǎngcì.,The magazine is issued twice a month.,她刚刚买了两本娱乐杂志。,Tā gānggāng mǎi le liǎngběn yúlè zázhì.,She just bought two entertainment magazines.,杂志比报纸报导得更深入。,Zázhì bǐ bàozhǐ bàodǎo dé gēng shēnrù.,A magazine can tell more about a story than a newspaper.
1914,再次,zàicì,one more time; once again,副,副 adv.,adverb,4,4,此地为两军再次交战之地。,Cǐdì wèi liǎng jūn zàicì jiāozhàn zhī dì.,That was where the two armies would fight again.,让我们很快地再次见面。,Ràng wǒmen hěnkuài dì zàicì jiànmiàn.,Let's meet again soon.,我很高兴再次见到了她。,Wǒ hěn gāoxìng zàicì jiàndào le tā.,I was happy to see her again.
1915,再说,zàishuō,what's more; to say again,动、连,动 v.,verb; conjunction,4,4,你回来的时候我们再说。,Nǐ huílái de shíhòu wǒmen zàishuō.,We can talk when you get back.,又再说妈妈的坏话了喔？,Yòu zàishuō māmā de huàihuà le ō?,Talking bad about mother again; eh?,抱歉，你能再说一遍吗？,Bàoqiàn; nǐ néng zàishuō yíbiàn ma?,I'm sorry; could you say that again?
1916,暂时,zànshí,temporary; provisional,形,形 adj.,adjective,4,4,他们说情况只是暂时的。,Tāmen shuō qíngkuàng zhǐshì zànshí de.,They said the situation was only temporary.,这个问题暂时放在一边。,Zhège wèntí zànshí fàngzài yìbiān.,That problem has been shelved for the time being.,暂时藏在仓库里好了。,Zànshí cáng zài cāngkù lǐ hǎo le.,Hide it inside the warehouse for now.
1917,暂停,zàntíng,to suspend; time-out,动,动 v.,verb,4,4,比赛因为大雨暂停了。,Bǐsài yīnwèi dàyǔ zàntíng le.,The match was suspended because of heavy rain.,请暂停播放这段视频。,Qǐng zàntíng bōfàng zhè duàn shìpín.,Please pause this video.,系统维护期间服务将暂时暂停。,Xìtǒngwéihù qījiān fúwù jiāng zànshí zàntíng.,Service will be temporarily suspended during system maintenance.
1918,早餐,zǎocān,breakfast,名,名 n.,noun,4,4,麻烦你叫我起床吃早餐啦。,Máfán nǐ jiào wǒ qǐchuáng chī zǎocān la.,Please wake me for breakfast.,我打算八点在房里吃早餐。,Wǒ dǎsuàn bādiǎn zài fánglǐ chī zǎocān.,I'd like breakfast in my room at 8 sharp.,我的早餐总是咖啡和土司。,Wǒ de zǎocān zǒngshì kāfēi hé tǔsī.,I always have coffee and toast for breakfast.
1919,早晨,zǎochen,early morning,名,名 n.,noun,4,4,我每天早晨吃一碗麦片粥。,Wǒ měitiān zǎochén chī yìwǎn màipiànzhōu.,Every morning I eat a bowl of oatmeal.,今天早晨被头给疼醒了。,Jīntiān zǎochén bèi tóu gěi téng xǐng le.,I woke up with a headache this morning.,在早晨，我总是喝一杯咖啡。,Zài zǎochén; wǒ zǒngshì hēyìbēi kāfēi.,I always drink a cup of coffee in the morning.
1920,责任,zérèn,responsibility; blame,名,名 n.,noun,4,4,遵守法律是每个人的责任。,Zūnshǒu fǎlǜ shì měigè rén de zérèn.,To obey the law is everyone's duty.,父母承担教育子女的责任。,Fùmǔ chéngdān jiàoyù zǐnǚ de zérèn.,Parents are responsible for their children's education.,她总是把责任往自己身上揽。,Tā zǒngshì bǎ zérèn wǎng zìjǐ shēnshàng lǎn.,She's always blaming herself.
1921,增加,zēngjiā,to raise; to increase,动,动 v.,verb,4,4,我将增加画龙点睛的功能。,Wǒ jiāng zēngjiā huàlóngdiǎnjīng de gōngnéng.,I'll add the finishing touch.,学生人数一年比一年增加。,Xuéshēng rénshù yìnián bǐ yìnián zēngjiā.,The number of students grows year by year.,近年的游客数量大幅增加。,Jìnnián de yóukè shùliàng dàfú zēngjiā.,The number of tourists has increased greatly in recent years.
1922,增长,zēngzhǎng,to grow; to increase,动,动 v.,verb,4,4,7月份工业生产大幅增长。,7 Yuèfèn gōngyèshēngchǎn dàfú zēngzhǎng.,Industrial production rose sharply in July.,少年犯罪最近一直在增长。,Shàonián fànzuì zuìjìn yìzhí zài zēngzhǎng.,Juvenile crimes have been increasing recently.,缅甸反华情绪正在增长。,Miǎndiān fǎnhuá qíngxù zhèngzài zēngzhǎng.,Anti-Chinese sentiment is on the rise in Myanmar.
1923,招聘,zhāopìn,to recruit; to invite applications for a job,动,动 v.,verb,4,4,公司正在招聘中文教师。,Gōngsī zhèngzài zhāopìn zhōngwén jiàoshī.,The company is recruiting Chinese teachers.,招聘信息已经发布在网上。,Zhāopìn xìnxī yǐjīng fābù zài wǎngshàng.,The recruitment notice has been posted online.,这次招聘包括笔试和面试。,Zhècì zhāopìn bāokuò bǐshì huó miànshì.,This recruitment process includes a written test and an interview.
1924,着,zháo,all right!; trick,动,动 v.,verb,4,4,我昨晚很快就睡着了。,Wǒ zuówǎn hěn kuài jiù shuìzháo le.,I fell asleep quickly last night.,衣服不小心被火烧着了。,Yīfu bù xiǎoxīn bèi huǒ shāozháo le.,The clothing accidentally caught fire.,天气冷，你别着凉。,Tiānqì lěng; nǐ bié zháoliáng.,It is cold; do not catch a chill.
1925,着火,zháohuǒ,to catch fire,动,动 v.,verb,4,4,哦，不！我的房子着火了！,Ó; bù! wǒ de fángzi zháohuǒ le!,Oh; no! My house is on fire!,化学工厂一着火就爆炸了。,Huàxuégōngchǎng yì zháohuǒ jiù bàozhà le.,Once the chemical plant caught fire; it exploded.,至少20户人家着火了。,Zhìshǎo 20 hù rénjiā zháohuǒ le.,At least 20 households caught fire.
1926,者,zhě,-er; -ist,助,助 part.,particle,4,4,我天生是一个乐观主义者。,Wǒ tiānshēng shì yígè lèguānzhǔyì zhě.,I am an optimist by nature.,我父亲总是说天助自助者。,Wǒ fùqīn zǒngshì shuō tiān zhù zìzhù zhě.,My father always said that heaven helps those who help themselves.,社会变态者是冷漠的。,Shèhuì biàntài zhě shì lěngmò de.,A sociopath is cold.
1927,真正,zhēnzhèng,genuine; real,形、副,形 adj.,adjective; adverb,4,4,没有甚么是真正有保证的。,Méiyǒu shénme shì zhēnzhèng yǒu bǎozhèng de.,Nothing is really guaranteed.,可那不是真正的问题所在。,Kě nà búshì zhēnzhèng de wèntísuǒzài.,But that's not the real problem.,你尝过真正饥饿的滋味吗？,Nǐ cháng guò zhēnzhèng jīè de zīwèi ma?,Do you know what it is like to be really hungry?
1928,整,zhěng,exactly; in good order,形,形 adj.,adjective,4,4,那孩子现在又在整什么了？,Nà háizi xiànzài yòu zài zhěng shénme le?,What is the child up to now?,我打算八点整在房里吃早餐。,Wǒ dǎsuàn bādiǎn zhěng zài fánglǐ chī zǎocān.,I'd like breakfast in my room at 8 sharp.,我们彼此同意在十点整见面。,Wǒmen bǐcǐ tóngyì zài shídiǎn zhěng jiànmiàn.,We made an agreement to meet exactly at ten.
1929,整个,zhěnggè,whole; entire,形,形 adj.,adjective,4,4,乌云逐渐布满了整个天空。,Wūyún zhújiàn bùmǎn le zhěnggè tiānkōng.,The sky has gradually clouded over.,我整个下午都在看那本书。,Wǒ zhěnggè xiàwǔ dōu zài kàn nàběnshū.,I've been reading that book all afternoon.,我整个下午都在读这本书。,Wǒ zhěnggè xiàwǔ dōu zàidú zhè běnshū.,I have been reading the book all afternoon.
1930,整理,zhěnglǐ,to arrange; to tidy up,动,动 v.,verb,4,4,肯每天早上自己整理床舖。,Kěn měitiān zǎoshàng zìjǐ zhěnglǐ chuáng pù.,Ken makes his own bed every morning.,我想请你帮我整理花园。,Wǒ xiǎng qǐng nǐ bāng wǒ zhěnglǐ huāyuán.,I would like you to assist me with my gardening.,我一直想整理书桌。,Wǒ yìzhí xiǎng zhěnglǐ shūzhuō.,I keep meaning to organize my desk.
1931,证,zhèng,to admonish; certificate,名,名 n.,noun,4,4,请让我看看您的登机证好吗?,Qǐng ràng wǒ kànkàn nín de dēngjī zhèng hǎo ma?,May I see your boarding pass; please?,这应证了我的想法。,Zhè yīng zhèng le wǒ de xiǎngfǎ.,That thought crossed my mind.,这是不证自明的。,Zhè shì bú zhèng zì míng de.,It's self-evident.
1932,正常,zhèngcháng,regular; normal,形,形 adj.,adjective,4,4,我从来不做梦，这正常吗？,Wǒ cóngláibú zuòmèng; zhè zhèngcháng ma?,I never dream. Is that normal?,今年的天气不太正常。,Jīnnián de tiānqì bú tài zhèngcháng.,This year's weather isn't very typical.,这个男人的体温高于正常体温。,Zhège nánrén de tǐwēn gāoyú zhèngcháng tǐwēn.,The man's body temperature is higher than normal.
1933,正好,zhènghǎo,just right; just enough,形、副,形 adj.,adjective; adverb,4,4,我的想法跟他的正好相反。,Wǒ de xiǎngfǎ gēn tā de zhènghǎo xiāngfǎn.,My idea went against his.,我正好有你需要的东西。,Wǒ zhènghǎo yǒu nǐ xūyào de dōngxī.,I have exactly what you need.,我正好上个星期日有空。,Wǒ zhènghǎo shànggèxīngqī rì yǒukòng.,I happened to be free last Sunday.
1934,证件,zhèngjiàn,document; certificate,名,名 n.,noun,4,4,办理入住时请出示证件。,Bànlǐ rùzhù shí qǐng chūshìzhèngjiàn.,Please show your ID when checking in.,我的证件放在背包里。,Wǒ de zhèngjiàn fàngzài bēibāo lǐ.,My documents are in my backpack.,重要证件最好复印一份。,Zhòngyào zhèngjiàn zuìhǎo fùyìn yífèn.,It is best to photocopy important documents.
1935,证明,zhèngmíng,proof; certificate,动、名,动 v.,verb; noun,4,4,我的预感被证明是正确的。,Wǒ de yùgǎn bèi zhèngmíng shì zhèngquè de.,My premonition turned out to be right.,谣言最后被证明是假的。,Yáoyán zuìhòu bèi zhèngmíng shì jiǎ de.,The rumor turned out to be false.,我不认为我们能证明它。,Wǒ bú rènwéi wǒmen néng zhèngmíng tā.,I don't think that we'll be able to prove it.
1936,正确,zhèngquè,right; correct,形,形 adj.,adjective,4,4,我的预感被证明是正确的。,Wǒ de yùgǎn bèi zhèngmíng shì zhèngquè de.,My premonition turned out to be right.,在我看来，她是正确的。,Zàiwǒkànlái; tā shì zhèngquè de.,In my opinion; she is correct.,这个看法可能是正确的。,Zhège kànfǎ kěnéng shì zhèngquè de.,Maybe this opinion is correct.
1937,正式,zhèngshì,formal; official,形,形 adj.,adjective,4,4,她不是这间公司正式的职员。,Tā búshì zhè jiān gōngsī zhèngshì de zhíyuán.,She's not among the regular employees of this company.,凯萨琳已成为皇室的正式成员。,Kǎi sà lín yǐ chéngwéi huángshì de zhèngshì chéngyuán.,Kate has become a full member of the royal family.,您没必要准备一个正式的演讲。,Nín méi bìyào zhǔnbèi yígè zhèngshì de yǎnjiǎng.,There's no need for you to prepare a formal speech.
1938,之,zhī,of; formal possessive marker,助,助 part.,particle,4,4,这是意料之中的结果。,Zhè shì yìliàozhīzhōng de jiéguǒ.,This is the result we expected.,他们之间有很多共同点。,Tāmen zhījiān yǒu hěnduō gòngtóngdiǎn.,They have many things in common.,这是一年之中最忙的时候。,Zhè shì yìnián zhīzhōng zuì máng de shíhòu.,This is the busiest time of the year.
1939,支持,zhīchí,to support; to back,动,动 v.,verb,4,4,我们提出了请求支持的呼吁。,Wǒmen tíchū le qǐngqiú zhīchí de hūyù.,We made an appeal for support.,我至始至终都在支持你。,Wǒ zhì shǐ zhì zhōng dōu zài zhīchí nǐ.,I have supported you throughout.,他在那个事件期间支持我们。,Tā zài nàge shìjiàn qījiān zhīchí wǒmen.,He backed us up during that incident.
1940,支付,zhīfù,to pay (money),动,动 v.,verb,4,4,我可以用旅行支票支付吗？,Wǒ kěyǐ yòng lǚxíngzhīpiào zhīfù ma?,May I pay with a travelers' check?,我能用信用卡支付吗？,Wǒ néng yòng xìnyòngkǎ zhīfù ma?,May I pay with a credit card?,那些钱足够支付费用。,Nàxiē qián zúgòu zhīfù fèiyòng.,That's enough money to cover the expenses.
1941,之后,zhīhòu,afterwards; behind,名,名 n.,noun,4,4,晚餐之后你才可以看电视。,Wǎncān zhīhòu nǐ cái kěyǐ kàndiànshì.,You can watch TV after supper.,我在三天之后收到了回复。,Wǒ zài sāntiān zhīhòu shōudào le huífù.,The reply came after three days.,之后我再也没跟他说过话。,Zhīhòu wǒ zàiyě méi gēn tā shuō guò huà.,I never spoke to him after that.
1942,之间,zhījiān,among; amid,名,名 n.,noun,4,4,行与行之间要留一个空间。,Xíng yǔ xíng zhījiān yào liú yígè kōngjiān.,Leave a space between the lines.,名古屋在东京和大阪之间。,Mínggǔwū zài dōngjīng hé dàbǎn zhījiān.,Nagoya is between Tokyo and Osaka.,我们的办公室之间有扇门。,Wǒmen de bàngōngshì zhījiān yǒu shànmén.,We have a door between our offices.
1943,之前,zhīqián,beforehand; prior to,名,名 n.,noun,4,4,蕾拉之前在和癌症作鬪争。,Lěi lā zhīqián zài hé áizhèng zuò dòu zhēng.,Layla was battling cancer.,在你忘记之前把它写下来。,Zài nǐ wàngjì zhīqián bǎ tā xiě xiàlái.,Write it down before you forget it.,飞机十分钟之前就起飞了。,Fēijī shífēnzhōng zhīqián jiù qǐfēi le.,The airplane took off ten minutes ago.
1944,知识,zhīshi,knowledge; intellectual,名,名 n.,noun,4,4,我知道很多关于船的知识。,Wǒ zhīdào hěnduō guānyú chuán de zhīshí.,I know a lot about ships.,我相信，知识就是力量。,Wǒ xiāngxìn; zhīshí jiùshì lìliàng.,It's my belief that knowledge is power.,只有学习才能获得知识。,Zhǐyǒu xuéxí cáinéng huòdé zhīshí.,Knowledge can only be obtained by study.
1945,之中,zhīzhōng,inside; among,名,名 n.,noun,4,4,这款游戏之中，人人平等。,Zhè kuǎn yóuxì zhīzhōng; rénrénpíngděng.,In this game; everyone is equal.,万事皆在上帝的掌控之中。,Wànshì jiē zài shàngdì de zhǎngkòng zhīzhōng.,Everything is in the hands of God.,太郎是三人之中最有名的。,Tàiláng shì sān rén zhīzhōng zuì yǒumíng de.,Taro is the most famous of the three.
1946,值,zhí,value; to happen to,动、形,动 v.,verb; adjective,4,4,这本旧书值5万日元。,Zhèběn jiùshū zhí 5 wànrìyuán.,This old book is worth 50;000 yen.,这值100万日元。,Zhè zhí 100 wànrìyuán.,This is worth one million yen.,这幅画值10镑。,Zhè fú huà zhí 10 bàng.,The price of the picture is 10 pounds.
1947,值得,zhídé,to be worth; to deserve,动,动 v.,verb,4,4,这座城堡很值得去看一看。,Zhè zuò chéngbǎo hěn zhíde qù kànyíkàn.,The castle is worth visiting.,他虽然年轻却很值得信赖。,Tā suīrán niánqīng què hěn zhíde xìnlài.,He might be young but he's trustworthy.,罗马这个城市值得一游。,Luómǎ zhège chéngshì zhíde yì yóu.,Rome is a city worth visiting.
1948,直接,zhíjiē,immediate; straightforward,形,形 adj.,adjective,4,4,我直接从他那里得到讯息。,Wǒ zhíjiē cóng tā nàlǐ dédào xùnxī.,I got the information from him directly.,你应该直接拒绝他的要求。,Nǐ yīnggāi zhíjiē jùjué tā de yāoqiú.,You should have refused his request flatly.,直接和我说我要做什么。,Zhíjiē hé wǒ shuō wǒ yào zuò shénme.,Just tell me what I have to do.
1949,植物,zhíwù,plant; vegetation,名,名 n.,noun,4,4,所有的植物都需要阳光和水。,Suǒyǒu de zhíwù dōu xūyào yángguāng hé shuǐ.,All plants need water and light.,这种植物原产于加拿大。,Zhèzhòng zhíwù yuánchǎn yú jiānádà.,This plant is indigenous to Canada.,您吃早餐前给植物浇水。,Nín chī zǎocān qián gěi zhíwù jiāoshuǐ.,Water the plants before eating breakfast.
1950,职业,zhíyè,occupation; professional,名,名 n.,noun,4,4,教书是我自己选择的职业。,Jiāoshū shì wǒ zìjǐ xuǎnzé de zhíyè.,Teaching is a profession of my own choosing.,我的职业正是我的爱好。,Wǒ de zhíyè zhèngshì wǒ de àihào.,My profession is my hobby.,她从事律师职业多年。,Tā cóngshì lǜshī zhíyè duōnián.,She practised as a barrister for many years.
1951,指,zhǐ,finger; to depend on,动,动 v.,verb,4,4,她把她的房间指给我看了。,Tā bǎ tā de fángjiān zhǐ gěi wǒ kàn le.,She showed me her room.,请您给我指一指路好吗？,Qǐng nín gěi wǒ zhǐ yì zhǐlù hǎo ma?,Will you please show me the way?,我不知道你指的是什么。,Wǒ bù zhīdào nǐ zhǐ de shì shénme.,I don't know what you're referring to.
1952,指出,zhǐchū,to indicate; to point out,动,动 v.,verb,4,4,他指出了遵守法律的重要性。,Tā zhǐchū le zūnshǒu fǎlǜ de zhòngyàoxìng.,He pointed out how important it is to observe the law.,老师指出了你的错误。,Lǎoshī zhǐchū le nǐ de cuòwù.,The teacher pointed out your mistakes.,抱歉，请允许我指出上文中的三个错误。,Bàoqiàn; qǐng yǔnxǔ wǒ zhǐchū shàng wénzhōng de sāngè cuòwù.,Excuse me; allow me to point out three errors in the above article.
1953,只好,zhǐhǎo,to have to; to be forced to,副,副 adv.,adverb,4,4,博物馆资金不足，只好关门。,Bówùguǎn zījīnbùzú; zhǐhǎo guānmén.,The museum had to close due to lack of finances.,他没法生火，只好把鱼生吃。,Tā méifǎ shēnghuǒ; zhǐhǎo bǎ yú shēng chī.,As he had no way of making fire; he ate the fish raw.,你只好隐伏几个星期。,Nǐ zhǐhǎo yǐnfú jǐgè xīngqī.,You'd better lie low for a few weeks.
1954,纸巾,zhǐjīn,tissue; paper towel,名,名 n.,noun,4,4,桌上有一盒纸巾。,Zhuōshàng yǒu yìhé zhǐjīn.,There is a box of tissues on the table.,请用纸巾把水擦干。,Qǐng yòng zhǐjīn bǎ shuǐ cāgàn.,Please use a tissue to wipe up the water.,她从包里拿出一张纸巾。,Tā cóng bāo lǐ náchū yìzhāng zhǐjīn.,She took a tissue out of her bag.
1955,质量,zhìliàng,quality; (physics) mass,名,名 n.,noun,4,4,对我来说，质量不如数量。,Duì wǒ láishuō; zhìliàng bùrú shùliàng.,I put quantity after quality.,这地毯在质量上比那个好得多。,Zhè dìtǎn zài zhìliàng shàng bǐ nàge hǎodéduō.,This carpet is superior to that one in quality.,请附上质量证明书。,Qǐng fùshàng zhìliàng zhèngmíngshū.,Please attach a certificate of quality.
